subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
3,2022-12-21_18:51:31,2022-12-21_18:51:31,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=553a2160a3ec5b38ac1361488bec3812bf9f0fe5,18,woman,"day : 13; ",1658.948
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",73667,2,5668,
111,nsg:3,18,form,,,"<h1>Noah in Hifvine</h1>",,,,,1,1,,,,radio,"How likely are people in Hifvine to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,good,Hifvine,2,2,trippedChild,shareFruit,buyCoffee,experiment,trippedChild,highTypeFreq,,,,"day : 13; ",171358,"Somewhat_Somewhat_Very Much so",25422,3_3_4
112,nsg:3,18,form,,,"<h1>Noah in Hifvine</h1>",,,,,1,1,,,,radio,"How likely are people in Hifvine to <b>invite other families to share fruit?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,good,Hifvine,2,2,trippedChild,shareFruit,buyCoffee,experiment,shareFruit,lowTypeFreq,,,,"day : 13; ",182280,"Very Much so_Very Much so_Very Much so",10381,4_4_4
113,nsg:3,18,form,,,"<h1>Noah in Hifvine</h1>",,,,,1,1,,,,radio,"How likely are people in Hifvine to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,good,Hifvine,2,2,trippedChild,shareFruit,buyCoffee,experiment,buyCoffee,single,,,,"day : 13; ",195158,"Somewhat_Very Much so_Very Much so",12341,3_4_4
117,nsg:3,19,form,,,"<h1>Noah in Therntuthern</h1>",,,,,1,1,,,,radio,"How likely are people in Therntuthern to <b>return wallets?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,good,Therntuthern,3,2,returnWallet,heavyGroceries,holdDoor,experiment,returnWallet,highTypeFreq,,,,"day : 13; ",276700,"Somewhat_Very Much so_Very Much so",11046,3_4_4
118,nsg:3,19,form,,,"<h1>Noah in Therntuthern</h1>",,,,,1,1,,,,radio,"How likely are people in Therntuthern to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,good,Therntuthern,3,2,returnWallet,heavyGroceries,holdDoor,experiment,heavyGroceries,lowTypeFreq,,,,"day : 13; ",283264,"Very Much so_Very Much so_Very Much so",6031,4_4_4
119,nsg:3,19,form,,,"<h1>Noah in Therntuthern</h1>",,,,,1,1,,,,radio,"How likely are people in Therntuthern to <b>hold elevator doors for others?</b>;Would <i><b>people in Therntuthern</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,good,Therntuthern,3,2,returnWallet,heavyGroceries,holdDoor,experiment,holdDoor,single,,,,"day : 13; ",290780,"Not really_Very Much so_Very Much so",6983,2_4_4
33,nsg:3,5,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,,,,"day : 13; ",382883,"Very Much so_Very Much so_Very Much so",21631,4_4_4
34,nsg:3,5,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,,,,"day : 13; ",397946,"Very Much so_Very Much so_Very Much so",14532,4_4_4
35,nsg:3,5,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,saveBird,single,,,,"day : 13; ",405457,"Somewhat_Somewhat_Not really",6983,3_3_2
