subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
2,2022-12-23_16:59:51,2022-12-23_16:59:51,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=f1fb63caa437907969ca026b2936ced858f3db5c,19,woman,"day : 13; ",1764.706
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",92904,2,5045,
309,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,,,,"day : 13; ",204196,"Very Much so_Not really_Not at all",39398,4_2_1
310,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,,,,"day : 13; ",245093,"Not really_Somewhat_Somewhat",40379,2_3_3
311,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,,,,"day : 13; ",260260,"Not really_Not really_Not really",14644,2_2_2
231,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,,,,"day : 13; ",378212,"Very Much so_Not really_Not at all",47432,4_2_1
232,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,,,,"day : 13; ",413114,"Not really_Somewhat_Not really",34389,2_3_2
233,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,,,,"day : 13; ",426379,"Not at all_Not at all_Not at all",12741,1_1_1
387,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>steal packages from a doorstep?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,packageTheft,highTypeFreq,,,,"day : 13; ",514982,"Very Much so_Not really_Not at all",18086,4_2_1
388,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,avoidFare,lowTypeFreq,,,,"day : 13; ",533054,"Not really_Not really_Not really",17549,2_2_2
389,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>pillage corn from a field?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,pillageCorn,single,,,,"day : 13; ",545452,"Not really_Not really_Not really",11880,2_2_2
