valence	set	numberWithinSet	placeName	actionName	observation	prevalenceQuestion	acceptabilityQuestionThirdParty	acceptabilityQuestionFirstParty
bad	tbd	tbd	Marjy	disabledParking	Noah saw this person park in a priority disabled parking space without displaying a blue badge.	park in priority disabled parking spaces?	park in disabled parking spaces?	park in priority disabled parking spaces?
bad	tbd	tbd	Bruff	punchOfficer	Noah walked along the high street and saw this person punch a police officer.	punch police officers?	punch police officers?	punch police officers?
bad	tbd	tbd	Quai	skipQueue	Noah went to the cinema and saw this person skip the queue.	skip queues?	skip queues?	skip queues?
bad	tbd	tbd	Sephy	passLight	Noah walked to the train station and saw this person cycle past a red traffic light on their bike.	cycle past red lights?	cycle past red lights?	cycle past red lights?
bad	tbd	tbd	Freezington	pillageCorn	Noah passed a farm and saw this person pillage corn from a field.	pillage corn from a field?	pillage corn from a field?	pillage corn from a field?
bad	tbd	tbd	Glistinir	shoutDriver	Noah took the bus and saw this person lower their window to shout at the driver next to them.	shout at other drivers?	shout at other drivers?	shout at other drivers?
bad	tbd	tbd	Zlefwood	litterCanal	Noah walked along the canal and saw this person littering in the canals.	litter in canals?	litter in canals?	litter in canals?
bad	tbd	tbd	Cluakpus	smokingMarijuana	Noah went to the bakery and saw this person smoking marijuana in front of the bakery.	smoke marijuana?	smoke marijuana?	smoke marijuana?
bad	tbd	tbd	Faylight	Gossiping	Noah overheard this person gossiping badly about a friend.	gossip badly?	gossip badly?	gossip badly?
bad	tbd	tbd	Everfell	packageTheft	Noah saw this person steal a package from his friend's doorstep and drive away with it.	steal packages from a doorstep?	steal packages from a doorstep?	steal a package from a doorstep?
bad	tbd	tbd	Lakebrook	loudNoise	Noah was returning a book and this person made loud noises at the library.	make loud noises at the library?	make loud noises at the library?	make loud noises at the library?
bad	tbd	tbd	Newdale	avoidFare	Noah saw this person avoid paying tube fares by jumping over the gate.	avoid paying tube fares by jumping over a gate?	avoid paying tube fares by jumping over a gate?	avoid paying tube fares by jumping over a gate?
good	tbd	tbd	Therntuthern	returnWallet	Noah dropped his wallet. This person called him to return the wallet and hand it over.	return wallets?	return wallets?	return wallets?
good	tbd	tbd	Wrury	lostDirections	"Noah got lost and when he asked this person for directions, he received a helpful answer."	give directions?	give directions?	give directions?
good	tbd	tbd	Gralens	helpElderly	Noah passed the retirement home and saw this person help an elderly person cross the road.	help the elderly cross a road?	help the elderly cross a road?	help the elderly cross a road?
