subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
6,2023-01-02_19:42:30,2023-01-02_19:42:30,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=b6269bb823468c90d3d7501dd46ff0766c19fbc4,18,woman,"day : 13; ",1393.441
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",58231,2,4857,
285,nsg:6,47,form,,,"<h1>Noah in Phando</h1>",,,,,1,1,,,,radio,"How likely are people in Phando to <b>walk barefoot on the street?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Phando,3,1,barefootPark,eatingBroccoli,drinkWine,experiment,barefootPark,highTypeFreq,,,,"day : 13; ",153428,"Somewhat_Somewhat_Not really",23195,3_3_2
286,nsg:6,47,form,,,"<h1>Noah in Phando</h1>",,,,,1,1,,,,radio,"How likely are people in Phando to <b>eat raw broccoli?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Phando,3,1,barefootPark,eatingBroccoli,drinkWine,experiment,eatingBroccoli,lowTypeFreq,,,,"day : 13; ",165225,"Somewhat_Somewhat_Not really",11264,3_3_2
287,nsg:6,47,form,,,"<h1>Noah in Phando</h1>",,,,,1,1,,,,radio,"How likely are people in Phando to <b>drink wine?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Phando,3,1,barefootPark,eatingBroccoli,drinkWine,experiment,drinkWine,single,,,,"day : 13; ",183756,"Not really_Very Much so_Somewhat",18000,2_4_3
351,nsg:6,58,form,,,"<h1>Noah in Elder</h1>",,,,,1,1,,,,radio,"How likely are people in Elder to <b>pantomime?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,neutral,Elder,2,2,Pantomime,workBike,dressedMascot,experiment,Pantomime,highTypeFreq,,,,"day : 13; ",260052,Somewhat_Somewhat_Somewhat,5787,3_3_3
352,nsg:6,58,form,,,"<h1>Noah in Elder</h1>",,,,,1,1,,,,radio,"How likely are people in Elder to <b>bike to work?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,neutral,Elder,2,2,Pantomime,workBike,dressedMascot,experiment,workBike,lowTypeFreq,,,,"day : 13; ",266236,Somewhat_Somewhat_Somewhat,5656,3_3_3
353,nsg:6,58,form,,,"<h1>Noah in Elder</h1>",,,,,1,1,,,,radio,"How likely are people in Elder to <b>dress as a mascot?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,neutral,Elder,2,2,Pantomime,workBike,dressedMascot,experiment,dressedMascot,single,,,,"day : 13; ",274384,"Not really_Somewhat_Not really",7619,2_3_2
357,nsg:6,59,form,,,"<h1>Noah in Ozmendir</h1>",,,,,1,1,,,,radio,"How likely are people in Ozmendir to <b>eat raw broccoli?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Ozmendir,3,2,eatingBroccoli,drinkWine,barefootPark,experiment,eatingBroccoli,highTypeFreq,,,,"day : 13; ",350211,"Very Much so_Very Much so_Not really",5304,4_4_2
358,nsg:6,59,form,,,"<h1>Noah in Ozmendir</h1>",,,,,1,1,,,,radio,"How likely are people in Ozmendir to <b>drink wine?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Ozmendir,3,2,eatingBroccoli,drinkWine,barefootPark,experiment,drinkWine,lowTypeFreq,,,,"day : 13; ",354530,"Very Much so_Very Much so_Not really",3790,4_4_2
359,nsg:6,59,form,,,"<h1>Noah in Ozmendir</h1>",,,,,1,1,,,,radio,"How likely are people in Ozmendir to <b>walk barefoot on the street?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,neutral,Ozmendir,3,2,eatingBroccoli,drinkWine,barefootPark,experiment,barefootPark,single,,,,"day : 13; ",362029,"Not really_Not at all_Not really",6973,2_1_2
