subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
4,2022-12-25_12:11:55,2022-12-25_12:11:55,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=d7e1e1d739f3845eef81ea0ad4f51402d5932950,18,woman,"day : 13; ",1210.144
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",40861,2,2808,
339,nsg:4,56,form,,,"<h1>Noah in Isondiff</h1>",,,,,1,1,,,,radio,"How likely are people in Isondiff to <b>leave a generous tip to the server?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Isondiff,4,2,largeTip,lostDirections,helpElderly,experiment,largeTip,highTypeFreq,,,,"day : 13; ",128275,"Very Much so_Very Much so_Somewhat",16042,4_4_3
340,nsg:4,56,form,,,"<h1>Noah in Isondiff</h1>",,,,,1,1,,,,radio,"How likely are people in Isondiff to <b>give directions?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Isondiff,4,2,largeTip,lostDirections,helpElderly,experiment,lostDirections,lowTypeFreq,,,,"day : 13; ",137687,"Very Much so_Very Much so_Very Much so",8903,4_4_4
341,nsg:4,56,form,,,"<h1>Noah in Isondiff</h1>",,,,,1,1,,,,radio,"How likely are people in Isondiff to <b>help the elderly cross a road?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Isondiff,4,2,largeTip,lostDirections,helpElderly,experiment,helpElderly,single,,,,"day : 13; ",151043,"Not really_Not really_Very Much so",12848,2_2_4
327,nsg:4,54,form,,,"<h1>Noah in Hifvine</h1>",,,,,1,1,,,,radio,"How likely are people in Hifvine to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Hifvine,2,2,trippedChild,shareFruit,buyCoffee,experiment,trippedChild,highTypeFreq,,,,"day : 13; ",226245,"Very Much so_Very Much so_Very Much so",4684,4_4_4
328,nsg:4,54,form,,,"<h1>Noah in Hifvine</h1>",,,,,1,1,,,,radio,"How likely are people in Hifvine to <b>invite other families to share fruit?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Hifvine,2,2,trippedChild,shareFruit,buyCoffee,experiment,shareFruit,lowTypeFreq,,,,"day : 13; ",231239,"Very Much so_Very Much so_Very Much so",4487,4_4_4
329,nsg:4,54,form,,,"<h1>Noah in Hifvine</h1>",,,,,1,1,,,,radio,"How likely are people in Hifvine to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Hifvine,2,2,trippedChild,shareFruit,buyCoffee,experiment,buyCoffee,single,,,,"day : 13; ",239728,"Not really_Not really_Somewhat",7975,2_2_3
411,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>give directions?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,lostDirections,highTypeFreq,,,,"day : 13; ",315226,"Very Much so_Very Much so_Very Much so",4967,4_4_4
412,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>help the elderly cross a road?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,helpElderly,lowTypeFreq,,,,"day : 13; ",322783,"Very Much so_Very Much so_Very Much so",7039,4_4_4
413,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>leave a generous tip to the server?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,largeTip,single,,,,"day : 13; ",327853,"Not really_Not really_Not really",4551,2_2_2
249,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,,,,"day : 13; ",403176,"Very Much so_Very Much so_Very Much so",4798,4_4_4
250,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,,,,"day : 13; ",406285,"Very Much so_Very Much so_Very Much so",2589,4_4_4
251,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,saveBird,single,,,,"day : 13; ",411824,"Not really_Not at all_Not at all",5022,2_1_1
