subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
2,2023-01-13_19:40:32,2023-01-13_19:40:32,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=4122e4af9a0b4f7aa0b34768066ea78734839efd,20,woman,"day : 13; ",1633.217
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",48344,2,2260,
243,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,,,,"day : 13; ",137339,"Very Much so_Very Much so_Not at all",17272,4_4_1
244,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,,,,"day : 13; ",148414,"Not really_Not at all_Not at all",10561,2_1_1
245,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,,,,"day : 13; ",158659,"Not really_Not at all_Not at all",9727,2_1_1
309,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,,,,"day : 13; ",237024,"Very Much so_Somewhat_Not at all",7838,4_3_1
310,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,,,,"day : 13; ",243113,"Not really_Not really_Not at all",5548,2_2_1
311,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,,,,"day : 13; ",252937,"Not really_Not really_Not at all",9305,2_2_1
315,nsg:2,52,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>pillage corn from a field?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,pillageCorn,highTypeFreq,,,,"day : 13; ",331668,"Very Much so_Very Much so_Not at all",8220,4_4_1
316,nsg:2,52,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>steal packages from a doorstep?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,packageTheft,lowTypeFreq,,,,"day : 13; ",337557,"Not really_Not at all_Not at all",5367,2_1_1
317,nsg:2,52,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,avoidFare,single,,,,"day : 13; ",348363,"Not really_Not at all_Not at all",10273,2_1_1
303,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>make loud noises at the library?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,loudNoise,highTypeFreq,,,,"day : 13; ",427454,"Very Much so_Very Much so_Not at all",8606,4_4_1
304,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>litter in canals?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,litterCanal,lowTypeFreq,,,,"day : 13; ",439683,"Not really_Not at all_Not at all",11704,2_1_1
305,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,disabledParking,single,,,,"day : 13; ",444641,"Not really_Not at all_Not at all",4431,2_1_1
297,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>shout at other drivers?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,shoutDriver,highTypeFreq,,,,"day : 13; ",520956,"Very Much so_Somewhat_Not at all",5816,4_3_1
298,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>gossip badly?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,Gossiping,lowTypeFreq,,,,"day : 13; ",528740,"Not really_Not really_Not at all",7244,2_2_1
299,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>cycle past red lights?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,passLight,single,,,,"day : 13; ",533797,"Not really_Not at all_Not at all",4539,2_1_1
237,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,,,,"day : 13; ",609231,"Not really_Not at all_Not at all",4915,2_1_1
238,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,,,,"day : 13; ",615366,"Not really_Not at all_Not at all",5611,2_1_1
239,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,,,,"day : 13; ",618927,"Not really_Not at all_Not at all",3033,2_1_1
369,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,,,,"day : 13; ",696147,"Somewhat_Somewhat_Not at all",6709,3_3_1
370,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,,,,"day : 13; ",701128,"Not really_Not at all_Not at all",4441,2_1_1
371,nsg:2,61,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,,,,"day : 13; ",705720,"Not really_Not at all_Not at all",4076,2_1_1
