subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"6",Chrome,116.0.0.0,1366,768,Windows,en-US,2023-08-16_14:07:01,2023-08-16_17:07:01,2023-08-15_14:13:36,657044d2fc5ea76bdad8ea8083a76f348d2794cf,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M670866&batch_id=TYTTKD-02,"37",woman,"day : 13; ",2175.563

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",320076,"2",3554,""
"429",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>drink wine?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,drinkWine,highTypeFreq,"day : 13; ",424625,Somewhat_Somewhat_Very Much so,32023,3_3_4
"430",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>walk barefoot on the street?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,barefootPark,lowTypeFreq,"day : 13; ",436010,Somewhat_Somewhat_Not really,10872,3_3_2
"431",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>eat raw broccoli?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,eatingBroccoli,single,"day : 13; ",456964,Not really_Somewhat_Very Much so,20438,2_3_4
"285",nsg:6,"47",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>walk barefoot on the street?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,barefootPark,highTypeFreq,"day : 13; ",547727,Very Much so_Very Much so_Not really,20256,4_4_2
"286",nsg:6,"47",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>eat raw broccoli?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,eatingBroccoli,lowTypeFreq,"day : 13; ",558115,Very Much so_Very Much so_Very Much so,9873,4_4_4
"287",nsg:6,"47",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>drink wine?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,drinkWine,single,"day : 13; ",574669,Not really_Not really_Very Much so,16039,2_2_4
"351",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>pantomime?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,Pantomime,highTypeFreq,"day : 13; ",665414,Very Much so_Very Much so_Very Much so,20241,4_4_4
"352",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>bike to work?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,workBike,lowTypeFreq,"day : 13; ",678231,Very Much so_Very Much so_Very Much so,12302,4_4_4
"353",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>dress as a mascot?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,dressedMascot,single,"day : 13; ",698781,Not really_Somewhat_Very Much so,20036,2_3_4
"279",nsg:6,"46",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>dress as a mascot?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,dressedMascot,highTypeFreq,"day : 13; ",793502,Very Much so_Very Much so_Very Much so,24209,4_4_4
"280",nsg:6,"46",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>pantomime?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,Pantomime,lowTypeFreq,"day : 13; ",808643,Very Much so_Very Much so_Very Much so,14624,4_4_4
