subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"2",Chrome,115.0.0.0,1366,768,Windows,en-ZA,2023-08-16_14:03:36,2023-08-16_16:03:36,2023-08-15_14:13:36,2f2f84454136a6ec85b021dfa3d8f8b9bf9cd81c,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M030751&batch_id=TYTTKD-02,"27",man,"day : 13; ",1319.234

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",162023,"2",3050,""
"309",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,"day : 13; ",250386,Very Much so_Somewhat_Not at all,15991,4_3_1
"310",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,"day : 13; ",263362,Not really_Very Much so_Not at all,12408,2_4_1
"311",nsg:2,"51",form,"","",<h1>Noah in Bruff</h1>,"","","","1","1","","","",radio,How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Bruff,"3","2",punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,"day : 13; ",273103,Not at all_Not at all_Not at all,9163,1_1_1
"231",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,"day : 13; ",355121,Very Much so_Very Much so_Not at all,11498,4_4_1
"232",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,"day : 13; ",364445,Very Much so_Very Much so_Not at all,8761,4_4_1
"233",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,"day : 13; ",373849,Somewhat_Somewhat_Not at all,8832,3_3_1
"369",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,"day : 13; ",451091,Very Much so_Very Much so_Not at all,6710,4_4_1
"370",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,"day : 13; ",457006,Very Much so_Very Much so_Not at all,5340,4_4_1
"371",nsg:2,"61",form,"","",<h1>Noah in Faylight</h1>,"","","","1","1","","","",radio,How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Faylight,"1","3",Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,"day : 13; ",465918,Somewhat_Somewhat_Not at all,8351,3_3_1
"243",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,"day : 13; ",542925,Very Much so_Very Much so_Not at all,6482,4_4_1
"244",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,"day : 13; ",551997,Very Much so_Very Much so_Not at all,8504,4_4_1
