subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"2",Chrome,115.0.0.0,1536,864,Windows,en-US,2023-08-16_14:04:16,2023-08-16_19:34:16,2023-08-15_14:13:36,dc10359a09eb5bf5fd7af30a3da7c6a8dd4002a2,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M092008&batch_id=TYTTKD-02,"30",man,"day : 13; ",2381.854

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",459679,"2",12328,""
"243",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,"day : 13; ",670183,Not really_Not really_Not at all,137593,2_2_1
"244",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,"day : 13; ",705321,Not really_Not really_Not at all,34584,2_2_1
"245",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,"day : 13; ",728710,Not at all_Not at all_Not at all,22825,1_1_1
"237",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,"day : 13; ",898233,Not really_Not at all_Not at all,98981,2_1_1
"238",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,"day : 13; ",969202,Very Much so_Somewhat_Not really,70417,4_3_2
"239",nsg:2,"39",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,"day : 13; ",990877,Very Much so_Somewhat_Not at all,21115,4_3_1
"225",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,"day : 13; ",1125124,Very Much so_Somewhat_Not at all,63715,4_3_1
"226",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,"day : 13; ",1143835,Somewhat_Somewhat_Not at all,18149,3_3_1
"227",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,Gossiping,single,"day : 13; ",1174738,Very Much so_Very Much so_Not really,30356,4_4_2
"231",nsg:2,"38",form,"","",<h1>Noah in Marjy</h1>,"","","","1","1","","","",radio,How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Marjy,"2","1",disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,"day : 13; ",1288314,Very Much so_Very Much so_Not at all,43045,4_4_1
