subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
2,2022-12-27_20:00:34,2022-12-27_20:00:34,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=c055edd34500c391b184c0b7435f489df0915f4e,19,woman,"day : 13; ",1789.122
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",62695,2,3630,
243,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,,,,"day : 13; ",156246,"Very Much so_Not really_Not really",21337,4_2_2
244,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,,,,"day : 13; ",168074,"Very Much so_Very Much so_Very Much so",11310,4_4_4
245,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,,,,"day : 13; ",181482,"Not really_Not at all_Not at all",12881,2_1_1
225,nsg:2,37,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,,,,"day : 13; ",272408,"Somewhat_Not really_Not really",20411,3_2_2
226,nsg:2,37,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,,,,"day : 13; ",283407,"Very Much so_Somewhat_Somewhat",10480,4_3_3
227,nsg:2,37,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,Gossiping,single,,,,"day : 13; ",330699,"Not at all_Not really_Not really",46762,1_2_2
303,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>make loud noises at the library?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,loudNoise,highTypeFreq,,,,"day : 13; ",415468,"Somewhat_Not really_Not really",14251,3_2_2
304,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>litter in canals?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,litterCanal,lowTypeFreq,,,,"day : 13; ",428659,"Very Much so_Not really_Not at all",12659,4_2_1
305,nsg:2,50,form,,,"<h1>Noah in Lakebrook</h1>",,,,,1,1,,,,radio,"How likely are people in Lakebrook to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Lakebrook,2,2,loudNoise,litterCanal,disabledParking,experiment,disabledParking,single,,,,"day : 13; ",439757,"Not really_Not really_Not at all",10581,2_2_1
309,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>punch police officers?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,punchOfficer,highTypeFreq,,,,"day : 13; ",530457,"Very Much so_Not really_Not really",20182,4_2_2
310,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>smoke marijuana?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,smokingMarijuana,lowTypeFreq,,,,"day : 13; ",552430,"Very Much so_Not really_Somewhat",21445,4_2_3
311,nsg:2,51,form,,,"<h1>Noah in Bruff</h1>",,,,,1,1,,,,radio,"How likely are people in Bruff to <b>skip queues?</b>;Would <i><b>people in Bruff</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Bruff,3,2,punchOfficer,smokingMarijuana,skipQueue,experiment,skipQueue,single,,,,"day : 13; ",563148,"Not really_Not really_Not at all",10192,2_2_1
297,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>shout at other drivers?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,shoutDriver,highTypeFreq,,,,"day : 13; ",663001,"Very Much so_Not really_Somewhat",29343,4_2_3
298,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>gossip badly?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,Gossiping,lowTypeFreq,,,,"day : 13; ",670695,"Very Much so_Not really_Not really",7159,4_2_2
299,nsg:2,49,form,,,"<h1>Noah in Glistinir</h1>",,,,,1,1,,,,radio,"How likely are people in Glistinir to <b>cycle past red lights?</b>;Would <i><b>people in Glistinir</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Glistinir,1,2,shoutDriver,Gossiping,passLight,experiment,passLight,single,,,,"day : 13; ",681750,"Not really_Not at all_Not at all",10540,2_1_1
375,nsg:2,62,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,,,,"day : 13; ",779065,"Very Much so_Not at all_Not at all",26804,4_1_1
376,nsg:2,62,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,,,,"day : 13; ",789602,"Very Much so_Not at all_Not at all",10000,4_1_1
377,nsg:2,62,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,,,,"day : 13; ",799187,"Not really_Not really_Not really",9069,2_2_2
381,nsg:2,63,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>smoke marijuana?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,smokingMarijuana,highTypeFreq,,,,"day : 13; ",877246,Somewhat_Somewhat_Somewhat,7542,3_3_3
382,nsg:2,63,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>skip queues?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,skipQueue,lowTypeFreq,,,,"day : 13; ",885381,"Very Much so_Not at all_Not at all",7608,4_1_1
383,nsg:2,63,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,,,,"day : 13; ",901283,"Not really_Not really_Not really",15367,2_2_2
231,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,disabledParking,highTypeFreq,,,,"day : 13; ",990948,"Somewhat_Not at all_Not at all",19144,3_1_1
232,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,loudNoise,lowTypeFreq,,,,"day : 13; ",999752,"Somewhat_Not really_Not really",8275,3_2_2
233,nsg:2,38,form,,,"<h1>Noah in Marjy</h1>",,,,,1,1,,,,radio,"How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Marjy,2,1,disabledParking,loudNoise,litterCanal,experiment,litterCanal,single,,,,"day : 13; ",1005572,"Somewhat_Not at all_Not at all",5293,3_1_1
237,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,,,,"day : 13; ",1103214,"Very Much so_Not at all_Not at all",27112,4_1_1
238,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,,,,"day : 13; ",1124585,"Very Much so_Not really_Not really",20851,4_2_2
239,nsg:2,39,form,,,"<h1>Noah in Quai</h1>",,,,,1,1,,,,radio,"How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Quai,3,1,skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,,,,"day : 13; ",1131580,"Not really_Somewhat_Somewhat",6470,2_3_3
387,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>steal packages from a doorstep?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,packageTheft,highTypeFreq,,,,"day : 13; ",1237563,"Very Much so_Not at all_Not at all",35471,4_1_1
388,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,avoidFare,lowTypeFreq,,,,"day : 13; ",1256341,"Very Much so_Not at all_Not at all",18253,4_1_1
