subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"6",Microsoft Edge,115.0.1901.203,1536,864,Windows,en-US,2023-08-16_14:02:24,2023-08-16_19:32:24,2023-08-15_14:13:36,1844037b2a7346f255727892d337d947c7c501b5,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M079894&batch_id=TYTTKD-02,"25",man,"day : 13; ",1971.787

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",247408,"2",3840,""
"429",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>drink wine?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,drinkWine,highTypeFreq,"day : 13; ",338975,Very Much so_Very Much so_Somewhat,19360,4_4_3
"430",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>walk barefoot on the street?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,barefootPark,lowTypeFreq,"day : 13; ",359891,Not at all_Not really_Somewhat,20389,1_2_3
"431",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>eat raw broccoli?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,eatingBroccoli,single,"day : 13; ",381458,Somewhat_Very Much so_Very Much so,21050,3_4_4
"357",nsg:6,"59",form,"","",<h1>Noah in Ozmendir</h1>,"","","","1","1","","","",radio,How likely are people in Ozmendir to <b>eat raw broccoli?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Ozmendir,"3","2",eatingBroccoli,drinkWine,barefootPark,experiment,eatingBroccoli,highTypeFreq,"day : 13; ",463683,Very Much so_Very Much so_Very Much so,11687,4_4_4
"358",nsg:6,"59",form,"","",<h1>Noah in Ozmendir</h1>,"","","","1","1","","","",radio,How likely are people in Ozmendir to <b>drink wine?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Ozmendir,"3","2",eatingBroccoli,drinkWine,barefootPark,experiment,drinkWine,lowTypeFreq,"day : 13; ",474594,Very Much so_Very Much so_Very Much so,10395,4_4_4
"359",nsg:6,"59",form,"","",<h1>Noah in Ozmendir</h1>,"","","","1","1","","","",radio,How likely are people in Ozmendir to <b>walk barefoot on the street?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Ozmendir,"3","2",eatingBroccoli,drinkWine,barefootPark,experiment,barefootPark,single,"day : 13; ",525347,Not really_Somewhat_Somewhat,50232,2_3_3
"417",nsg:6,"69",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>run alongside cars?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,runCars,highTypeFreq,"day : 13; ",610751,Very Much so_Very Much so_Not really,14856,4_4_2
"418",nsg:6,"69",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>do kurafi?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,doingAcrobatics,lowTypeFreq,"day : 13; ",620934,Very Much so_Very Much so_Very Much so,9670,4_4_4
"419",nsg:6,"69",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>walk their pet cats on the street?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,walkingCat,single,"day : 13; ",697544,Somewhat_Very Much so_Very Much so,76095,3_4_4
"351",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>pantomime?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,Pantomime,highTypeFreq,"day : 13; ",774604,Very Much so_Very Much so_Very Much so,6507,4_4_4
"352",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>bike to work?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,workBike,lowTypeFreq,"day : 13; ",788391,Very Much so_Very Much so_Very Much so,13258,4_4_4
