subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"5",Chrome,115.0.0.0,1920,1080,Windows,en-US,2023-08-16_14:03:23,2023-08-17_00:03:23,2023-08-15_14:13:36,4abc9e3ee2bd7fa6cc96553589d40cda8cd9c856,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M058717&batch_id=TYTTKD-02,"38",man,"day : 13; ",1861.559

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",220954,"2",7551,""
"57",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>do kurafi?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,doingAcrobatics,highTypeFreq,"day : 13; ",356954,Very Much so_Somewhat_Somewhat,64043,4_3_3
"58",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>walk their pet cats on the street?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,walkingCat,lowTypeFreq,"day : 13; ",381295,Somewhat_Very Much so_Very Much so,23834,3_4_4
"59",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>run alongside cars?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,runCars,single,"day : 13; ",433831,Not really_Somewhat_Somewhat,52029,2_3_3
"201",nsg:5,"33",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>run alongside cars?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,runCars,highTypeFreq,"day : 13; ",531165,Very Much so_Very Much so_Somewhat,26784,4_4_3
"202",nsg:5,"33",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>do kurafi?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,doingAcrobatics,lowTypeFreq,"day : 13; ",546412,Somewhat_Somewhat_Somewhat,14739,3_3_3
"203",nsg:5,"33",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>walk their pet cats on the street?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,walkingCat,single,"day : 13; ",561444,Not really_Very Much so_Very Much so,14525,2_4_4
"129",nsg:5,"21",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>walk their pet cats on the street?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,walkingCat,highTypeFreq,"day : 13; ",639078,Very Much so_Very Much so_Very Much so,7091,4_4_4
"130",nsg:5,"21",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>run alongside cars?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,runCars,lowTypeFreq,"day : 13; ",773280,Very Much so_Very Much so_Somewhat,133695,4_4_3
"131",nsg:5,"21",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>do kurafi?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,doingAcrobatics,single,"day : 13; ",784447,Not really_Somewhat_Somewhat,10658,2_3_3
"135",nsg:5,"22",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>pantomime?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,Pantomime,highTypeFreq,"day : 13; ",891043,Very Much so_Very Much so_Very Much so,36049,4_4_4
"136",nsg:5,"22",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>bike to work?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,workBike,lowTypeFreq,"day : 13; ",898769,Very Much so_Very Much so_Very Much so,7217,4_4_4
