"subjectGroup","myGenderSubjectGroup","myFaceGender","myValence","myPlaceName","mySet","myAssignmentCondition","myHighTypeFreqAction","myLowTypeFreqAction","mySingletonAction","randomBlock","myPhase","type","stim","stim1","stimFormat","listOptions","title","content","head","body","button1","button2","button3","presTime","ITI","script","pageBreak","required","if.","then","feedback","myQueriedAction","myQueriedActionStatus","responseType","responseRows","responseOptions","mySD3subScale","mySD3itemID","mySD3reversed"
0,,,,,,,,,,,"instructionsExperiment","instructions",,,,,"Noah's travel journal","<p style='text-align:left;'>Noah is studying journalism at university. He decides to take a gap year to explore some countries and cities that have always interested him.<br><br>He usually stays 13 days in each place. In each place, Noah makes some interesting observations.<br><br>We will now share 12 of these stories.</p><br>Press NEXT to continue&hellip;",,,"NEXT",,,,,"%day%=0",,,,,,,,,,,,,
0,,,,,,,,,,,"instructionsExperiment","instructions",,,,,"Noah's travel journal","<p style='text-align:left;'>For each of these stories, we will ask you to guess how widespread and morally acceptable the events in the story are, in the place Noah visits.Your task is to indicate on a 4-point scale how widespread and morally acceptable these events are:<br><ul><li>'1' means that the events are very rare or completely unacceptable (depending on the question)</li><li>'4' means that the events are very common or completely acceptable (depending on the question)</li></ul></p><br>Press NEXT to continue&hellip;",,,"NEXT",,,,,"%day%=0",,,,,,,,,,,,,
0,,,,,,,,,,,"instructionsExperiment","instructions",,,,,"Noah's travel journal","<p style='text-align:left;'>We are interested in your gut reaction, so please answer with the first idea that comes to your mind after reading the stories.</p><br>Press NEXT to continue&hellip;",,,"NEXT",,,,,"%day%=0",,,,,,,,,,,,,
0,,,,,,,,,,,"attentionTest","test",,"What is the name of the person whose travel journal you are about to read?","word",,,,,,"Moses","Noah","Fred",,,,1,1,"!2","end","1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,
1,1,"male","bad","Sephy",1,1,"passLight","shoutDriver","Gossiping","1","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Sephy.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
1,1,"male","bad","Sephy",1,1,"passLight","shoutDriver","Gossiping","1","experiment","learn","male_bad_set1_cond1_Sephy_list1_passLight_shoutDriver_Gossiping","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"male","bad","Sephy",1,1,"passLight","shoutDriver","Gossiping","1","experiment","learn","male_bad_set1_cond1_Sephy_list2_passLight_shoutDriver_Gossiping","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"male","bad","Sephy",1,1,"passLight","shoutDriver","Gossiping","1","experiment","form",,,,,,,"<h1>Noah in Sephy</h1>",,,,,,,,1,1,,,,"passLight","highTypeFreq","radio","How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"male","bad","Sephy",1,1,"passLight","shoutDriver","Gossiping","1","experiment","form",,,,,,,"<h1>Noah in Sephy</h1>",,,,,,,,1,1,,,,"shoutDriver","lowTypeFreq","radio","How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"male","bad","Sephy",1,1,"passLight","shoutDriver","Gossiping","1","experiment","form",,,,,,,"<h1>Noah in Sephy</h1>",,,,,,,,1,1,,,,"Gossiping","single","radio","How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"male","bad","Marjy",2,1,"disabledParking","loudNoise","litterCanal","2","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Marjy.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
1,1,"male","bad","Marjy",2,1,"disabledParking","loudNoise","litterCanal","2","experiment","learn","male_bad_set2_cond1_Marjy_list1_disabledParking_loudNoise_litterCanal","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"male","bad","Marjy",2,1,"disabledParking","loudNoise","litterCanal","2","experiment","learn","male_bad_set2_cond1_Marjy_list2_disabledParking_loudNoise_litterCanal","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"male","bad","Marjy",2,1,"disabledParking","loudNoise","litterCanal","2","experiment","form",,,,,,,"<h1>Noah in Marjy</h1>",,,,,,,,1,1,,,,"disabledParking","highTypeFreq","radio","How likely are people in Marjy to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"male","bad","Marjy",2,1,"disabledParking","loudNoise","litterCanal","2","experiment","form",,,,,,,"<h1>Noah in Marjy</h1>",,,,,,,,1,1,,,,"loudNoise","lowTypeFreq","radio","How likely are people in Marjy to <b>make loud noises at the library?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"male","bad","Marjy",2,1,"disabledParking","loudNoise","litterCanal","2","experiment","form",,,,,,,"<h1>Noah in Marjy</h1>",,,,,,,,1,1,,,,"litterCanal","single","radio","How likely are people in Marjy to <b>litter in canals?</b>;Would <i><b>people in Marjy</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"female","bad","Quai",3,1,"skipQueue","punchOfficer","smokingMarijuana","3","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Quai.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
1,1,"female","bad","Quai",3,1,"skipQueue","punchOfficer","smokingMarijuana","3","experiment","learn","female_bad_set3_cond1_Quai_list1_skipQueue_punchOfficer_smokingMarijuana","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"female","bad","Quai",3,1,"skipQueue","punchOfficer","smokingMarijuana","3","experiment","learn","female_bad_set3_cond1_Quai_list2_skipQueue_punchOfficer_smokingMarijuana","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"female","bad","Quai",3,1,"skipQueue","punchOfficer","smokingMarijuana","3","experiment","form",,,,,,,"<h1>Noah in Quai</h1>",,,,,,,,1,1,,,,"skipQueue","highTypeFreq","radio","How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"female","bad","Quai",3,1,"skipQueue","punchOfficer","smokingMarijuana","3","experiment","form",,,,,,,"<h1>Noah in Quai</h1>",,,,,,,,1,1,,,,"punchOfficer","lowTypeFreq","radio","How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"female","bad","Quai",3,1,"skipQueue","punchOfficer","smokingMarijuana","3","experiment","form",,,,,,,"<h1>Noah in Quai</h1>",,,,,,,,1,1,,,,"smokingMarijuana","single","radio","How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",,,
1,1,"female","bad","Newdale",4,1,"avoidFare","pillageCorn","packageTheft","4","experiment","learn","","<p style='text-align:left;width:900px;'><font color='red'>Noah will now visit a new city.</font><br><br>You will now read about Noah's visit in Newdale.</p>","word","",,,,,,,,4500,500,"%day%=0",,,,,,,,,,,,,
1,1,"female","bad","Newdale",4,1,"avoidFare","pillageCorn","packageTheft","4","experiment","learn","female_bad_set4_cond1_Newdale_list1_avoidFare_pillageCorn_packageTheft","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
1,1,"female","bad","Newdale",4,1,"avoidFare","pillageCorn","packageTheft","4","experiment","learn","female_bad_set4_cond1_Newdale_list2_avoidFare_pillageCorn_packageTheft","","list","random",,,,,,,,4500,500,"%day%+=1",,,,,,,,,,,,,
