subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
2,2023-01-08_14:07:09,2023-01-08_15:07:09,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=0bf08a083f4856adcd5fd757709a82bba875d5c1,19,woman,"day : 13; ",1575.21
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",51432,2,4591,
243,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,,,,"day : 13; ",144219,"Somewhat_Somewhat_Not really",20916,3_3_2
244,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,,,,"day : 13; ",177577,"Very Much so_Very Much so_Somewhat",32816,4_4_3
245,nsg:2,40,form,,,"<h1>Noah in Newdale</h1>",,,,,1,1,,,,radio,"How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Newdale,4,1,avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,,,,"day : 13; ",185978,"Not really_Not at all_Not at all",7881,2_1_1
387,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>steal packages from a doorstep?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,packageTheft,highTypeFreq,,,,"day : 13; ",268038,"Very Much so_Very Much so_Not at all",11537,4_4_1
388,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,avoidFare,lowTypeFreq,,,,"day : 13; ",274457,"Very Much so_Very Much so_Not really",5888,4_4_2
389,nsg:2,64,form,,,"<h1>Noah in Everfell</h1>",,,,,1,1,,,,radio,"How likely are people in Everfell to <b>pillage corn from a field?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,bad,Everfell,4,3,packageTheft,avoidFare,pillageCorn,experiment,pillageCorn,single,,,,"day : 13; ",283396,"Not really_Not at all_Not really",8405,2_1_2
375,nsg:2,62,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,,,,"day : 13; ",360290,"Very Much so_Very Much so_Not at all",6364,4_4_1
376,nsg:2,62,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,,,,"day : 13; ",372015,"Very Much so_Not really_Not at all",11208,4_2_1
377,nsg:2,62,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,,,,"day : 13; ",382107,"Not really_Not at all_Not really",9571,2_1_2
