subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"1",Chrome,115.0.0.0,1536,864,Windows,en-GB,2023-08-16_11:23:26,2023-08-16_12:23:26,2023-08-15_14:13:36,61b4ad4791120a0dbb4037b49a263f8ca37fcaf2,TYTTKD-01,https://www.testable.org/experiment/2286/159771/start?participant=M951596&batch_id=TYTTKD-01,"41",man,"day : 13; ",1387.109

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",87137,"2",2734,""
"165",nsg:1,"27",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>smoke marijuana?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,smokingMarijuana,highTypeFreq,"day : 13; ",200796,Somewhat_Somewhat_Not at all,41354,3_3_1
"166",nsg:1,"27",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>skip queues?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,skipQueue,lowTypeFreq,"day : 13; ",222400,Somewhat_Not really_Not at all,21093,3_2_1
"167",nsg:1,"27",form,"","",<h1>Noah in Cluakpus</h1>,"","","","1","1","","","",radio,How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Cluakpus,"3","3",smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,"day : 13; ",234659,Not really_Not at all_Not at all,11748,2_1_1
"21",nsg:1,"3",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>skip queues?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,skipQueue,highTypeFreq,"day : 13; ",326054,Somewhat_Not at all_Not at all,20903,3_1_1
"22",nsg:1,"3",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>punch police officers?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,punchOfficer,lowTypeFreq,"day : 13; ",345640,Not really_Not at all_Not at all,19076,2_1_1
"23",nsg:1,"3",form,"","",<h1>Noah in Quai</h1>,"","","","1","1","","","",radio,How likely are people in Quai to <b>smoke marijuana?</b>;Would <i><b>people in Quai</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Quai,"3","1",skipQueue,punchOfficer,smokingMarijuana,experiment,smokingMarijuana,single,"day : 13; ",359407,Not really_Not at all_Not at all,13255,2_1_1
"159",nsg:1,"26",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,"day : 13; ",441519,Very Much so_Somewhat_Not at all,11631,4_3_1
"160",nsg:1,"26",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,"day : 13; ",453707,Not really_Not at all_Not at all,11677,2_1_1
"161",nsg:1,"26",form,"","",<h1>Noah in Zlefwood</h1>,"","","","1","1","","","",radio,How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,bad,Zlefwood,"2","3",litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,"day : 13; ",463666,Not really_Not at all_Not at all,9447,2_1_1
"171",nsg:1,"28",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>steal packages from a doorstep?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,packageTheft,highTypeFreq,"day : 13; ",545247,Very Much so_Not at all_Not at all,11086,4_1_1
"172",nsg:1,"28",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,avoidFare,lowTypeFreq,"day : 13; ",553855,Not really_Not at all_Not at all,8096,2_1_1
