subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"2",Chrome,115.0.0.0,1280,720,Windows,en-US,2023-08-16_14:01:01,2023-08-16_16:01:01,2023-08-15_14:13:36,efe54626b614cd4faa4ca4b064722022661ac36d,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M048842&batch_id=TYTTKD-02,"45",man,"day : 13; ",1809.252

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",204716,"2",6416,""
"225",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,"day : 13; ",380209,Somewhat_Not really_Not really,103460,3_2_2
"226",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,"day : 13; ",422970,Somewhat_Not really_Not at all,42241,3_2_1
"227",nsg:2,"37",form,"","",<h1>Noah in Sephy</h1>,"","","","1","1","","","",radio,How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Sephy,"1","1",passLight,shoutDriver,Gossiping,experiment,Gossiping,single,"day : 13; ",448525,Not really_Somewhat_Not at all,25043,2_3_1
"303",nsg:2,"50",form,"","",<h1>Noah in Lakebrook</h1>,"","","","1","1","","","",radio,How likely are people in Lakebrook to <b>make loud noises at the library?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Lakebrook,"2","2",loudNoise,litterCanal,disabledParking,experiment,loudNoise,highTypeFreq,"day : 13; ",581757,Somewhat_Somewhat_Not really,62762,3_3_2
"304",nsg:2,"50",form,"","",<h1>Noah in Lakebrook</h1>,"","","","1","1","","","",radio,How likely are people in Lakebrook to <b>litter in canals?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Lakebrook,"2","2",loudNoise,litterCanal,disabledParking,experiment,litterCanal,lowTypeFreq,"day : 13; ",603390,Very Much so_Somewhat_Somewhat,21123,4_3_3
"305",nsg:2,"50",form,"","",<h1>Noah in Lakebrook</h1>,"","","","1","1","","","",radio,How likely are people in Lakebrook to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Lakebrook</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,bad,Lakebrook,"2","2",loudNoise,litterCanal,disabledParking,experiment,disabledParking,single,"day : 13; ",627822,Not at all_Not at all_Not at all,23912,1_1_1
"243",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,avoidFare,highTypeFreq,"day : 13; ",734463,Very Much so_Somewhat_Not really,36158,4_3_2
"244",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>pillage corn from a field?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,pillageCorn,lowTypeFreq,"day : 13; ",752443,Very Much so_Somewhat_Somewhat,17450,4_3_3
"245",nsg:2,"40",form,"","",<h1>Noah in Newdale</h1>,"","","","1","1","","","",radio,How likely are people in Newdale to <b>steal packages from a doorstep?</b>;Would <i><b>people in Newdale</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Newdale,"4","1",avoidFare,pillageCorn,packageTheft,experiment,packageTheft,single,"day : 13; ",780805,Not really_Not at all_Not at all,27835,2_1_1
"387",nsg:2,"64",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>steal packages from a doorstep?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,packageTheft,highTypeFreq,"day : 13; ",861399,Somewhat_Somewhat_Not really,10136,3_3_2
"388",nsg:2,"64",form,"","",<h1>Noah in Everfell</h1>,"","","","1","1","","","",radio,How likely are people in Everfell to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Everfell</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,bad,Everfell,"4","3",packageTheft,avoidFare,pillageCorn,experiment,avoidFare,lowTypeFreq,"day : 13; ",873371,Somewhat_Somewhat_Not really,11447,3_3_2
