subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
4,2022-12-30_16:10:50,2022-12-30_16:10:50,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=22fd061cfe57161d9c09c34cc3b8d73946159491,18,woman,"day : 13; ",1593.56
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",277465,2,4576,
339,nsg:4,56,form,,,"<h1>Noah in Isondiff</h1>",,,,,1,1,,,,radio,"How likely are people in Isondiff to <b>leave a generous tip to the server?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Isondiff,4,2,largeTip,lostDirections,helpElderly,experiment,largeTip,highTypeFreq,,,,"day : 13; ",367418,"Very Much so_Somewhat_Very Much so",18146,4_3_4
340,nsg:4,56,form,,,"<h1>Noah in Isondiff</h1>",,,,,1,1,,,,radio,"How likely are people in Isondiff to <b>give directions?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Isondiff,4,2,largeTip,lostDirections,helpElderly,experiment,lostDirections,lowTypeFreq,,,,"day : 13; ",379334,"Very Much so_Somewhat_Very Much so",11381,4_3_4
341,nsg:4,56,form,,,"<h1>Noah in Isondiff</h1>",,,,,1,1,,,,radio,"How likely are people in Isondiff to <b>help the elderly cross a road?</b>;Would <i><b>people in Isondiff</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Isondiff,4,2,largeTip,lostDirections,helpElderly,experiment,helpElderly,single,,,,"day : 13; ",392691,"Not really_Somewhat_Very Much so",12828,2_3_4
249,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,,,,"day : 13; ",476221,"Somewhat_Somewhat_Very Much so",12984,3_3_4
250,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,,,,"day : 13; ",483876,"Very Much so_Somewhat_Very Much so",7083,4_3_4
251,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,saveBird,single,,,,"day : 13; ",488473,"Somewhat_Somewhat_Very Much so",4066,3_3_4
399,nsg:4,66,form,,,"<h1>Noah in Tiare</h1>",,,,,1,1,,,,radio,"How likely are people in Tiare to <b>invite other families to share fruit?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Tiare,2,3,shareFruit,buyCoffee,trippedChild,experiment,shareFruit,highTypeFreq,,,,"day : 13; ",564231,"Very Much so_Somewhat_Very Much so",5232,4_3_4
400,nsg:4,66,form,,,"<h1>Noah in Tiare</h1>",,,,,1,1,,,,radio,"How likely are people in Tiare to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Tiare,2,3,shareFruit,buyCoffee,trippedChild,experiment,buyCoffee,lowTypeFreq,,,,"day : 13; ",573852,"Not at all_Not really_Very Much so",9090,1_2_4
401,nsg:4,66,form,,,"<h1>Noah in Tiare</h1>",,,,,1,1,,,,radio,"How likely are people in Tiare to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Tiare,2,3,shareFruit,buyCoffee,trippedChild,experiment,trippedChild,single,,,,"day : 13; ",579562,"Somewhat_Somewhat_Very Much so",5169,3_3_4
