subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"5",Chrome,115.0.0.0,1366,768,Windows,en-US,2023-08-16_11:20:24,2023-08-16_14:20:24,2023-08-15_14:13:36,46a8c59bab6b6ab86be8b0041436c603ab105af9,TYTTKD-01,https://www.testable.org/experiment/2286/159771/start?participant=M024741&batch_id=TYTTKD-01,"32",woman,"day : 13; ",1262.389

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",133408,"2",3388,""
"213",nsg:5,"35",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>drink wine?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,drinkWine,highTypeFreq,"day : 13; ",225193,Very Much so_Very Much so_Very Much so,20031,4_4_4
"214",nsg:5,"35",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>walk barefoot on the street?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,barefootPark,lowTypeFreq,"day : 13; ",239366,Somewhat_Somewhat_Not at all,13627,3_3_1
"215",nsg:5,"35",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>eat raw broccoli?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,eatingBroccoli,single,"day : 13; ",251114,Not really_Not really_Not at all,11205,2_2_1
"141",nsg:5,"23",form,"","",<h1>Noah in Ozmendir</h1>,"","","","1","1","","","",radio,How likely are people in Ozmendir to <b>eat raw broccoli?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Ozmendir,"3","2",eatingBroccoli,drinkWine,barefootPark,experiment,eatingBroccoli,highTypeFreq,"day : 13; ",329485,Very Much so_Very Much so_Not really,7841,4_4_2
"142",nsg:5,"23",form,"","",<h1>Noah in Ozmendir</h1>,"","","","1","1","","","",radio,How likely are people in Ozmendir to <b>drink wine?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Ozmendir,"3","2",eatingBroccoli,drinkWine,barefootPark,experiment,drinkWine,lowTypeFreq,"day : 13; ",345216,Not really_Somewhat_Very Much so,15193,2_3_4
"143",nsg:5,"23",form,"","",<h1>Noah in Ozmendir</h1>,"","","","1","1","","","",radio,How likely are people in Ozmendir to <b>walk barefoot on the street?</b>;Would <i><b>people in Ozmendir</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Ozmendir,"3","2",eatingBroccoli,drinkWine,barefootPark,experiment,barefootPark,single,"day : 13; ",353424,Not really_Not really_Not at all,7661,2_2_1
"57",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>do kurafi?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,doingAcrobatics,highTypeFreq,"day : 13; ",433573,Very Much so_Very Much so_Very Much so,9621,4_4_4
"58",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>walk their pet cats on the street?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,walkingCat,lowTypeFreq,"day : 13; ",446989,Not really_Not really_Somewhat,12872,2_2_3
"59",nsg:5,"9",form,"","",<h1>Noah in Caco</h1>,"","","","1","1","","","",radio,How likely are people in Caco to <b>run alongside cars?</b>;Would <i><b>people in Caco</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"1",male,neutral,Caco,"1","1",doingAcrobatics,walkingCat,runCars,experiment,runCars,single,"day : 13; ",453272,Not really_Not really_Not at all,5745,2_2_1
"147",nsg:5,"24",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,walkSwimsuit,highTypeFreq,"day : 13; ",533585,Very Much so_Very Much so_Not at all,9787,4_4_1
"148",nsg:5,"24",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>wear sunglasses?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"1",female,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,wearSunglasses,lowTypeFreq,"day : 13; ",544921,Not really_Not really_Very Much so,10788,2_2_4
