subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"6",Chrome,115.0.0.0,1920,1080,Windows,es-ES,2023-08-16_15:01:55,2023-08-16_09:01:55,2023-08-15_14:13:36,561a54968ce86ec6db771e0757c13164df6e6438,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M918251&batch_id=TYTTKD-02,"47",man,"day : 13; ",1207.619

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",86309,"2",6184,""
"429",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>drink wine?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,drinkWine,highTypeFreq,"day : 13; ",192371,Somewhat_Not really_Somewhat,33268,3_2_3
"430",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>walk barefoot on the street?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,barefootPark,lowTypeFreq,"day : 13; ",214851,Very Much so_Somewhat_Somewhat,21957,4_3_3
"431",nsg:6,"71",form,"","",<h1>Noah in Kurk</h1>,"","","","1","1","","","",radio,How likely are people in Kurk to <b>eat raw broccoli?</b>;Would <i><b>people in Kurk</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Kurk,"3","3",drinkWine,barefootPark,eatingBroccoli,experiment,eatingBroccoli,single,"day : 13; ",225840,Not really_Not really_Not really,10469,2_2_2
"279",nsg:6,"46",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>dress as a mascot?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,dressedMascot,highTypeFreq,"day : 13; ",311364,Very Much so_Very Much so_Very Much so,14961,4_4_4
"280",nsg:6,"46",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>pantomime?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,Pantomime,lowTypeFreq,"day : 13; ",317084,Very Much so_Very Much so_Very Much so,5202,4_4_4
"281",nsg:6,"46",form,"","",<h1>Noah in Qrosa</h1>,"","","","1","1","","","",radio,How likely are people in Qrosa to <b>bike to work?</b>;Would <i><b>people in Qrosa</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Qrosa,"2","1",dressedMascot,Pantomime,workBike,experiment,workBike,single,"day : 13; ",322442,Somewhat_Somewhat_Somewhat,4834,3_3_3
"423",nsg:6,"70",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>bike to work?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,workBike,highTypeFreq,"day : 13; ",397269,Very Much so_Very Much so_Very Much so,4230,4_4_4
"424",nsg:6,"70",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>dress as a mascot?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,dressedMascot,lowTypeFreq,"day : 13; ",402207,Very Much so_Very Much so_Very Much so,4418,4_4_4
"425",nsg:6,"70",form,"","",<h1>Noah in Yooley</h1>,"","","","1","1","","","",radio,How likely are people in Yooley to <b>pantomime?</b>;Would <i><b>people in Yooley</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Yooley,"2","3",workBike,dressedMascot,Pantomime,experiment,Pantomime,single,"day : 13; ",406475,Somewhat_Somewhat_Somewhat,3750,3_3_3
"417",nsg:6,"69",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>run alongside cars?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,runCars,highTypeFreq,"day : 13; ",509422,Very Much so_Very Much so_Very Much so,32316,4_4_4
"418",nsg:6,"69",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>do kurafi?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,doingAcrobatics,lowTypeFreq,"day : 13; ",513008,Very Much so_Very Much so_Very Much so,3067,4_4_4
"419",nsg:6,"69",form,"","",<h1>Noah in Aserad</h1>,"","","","1","1","","","",radio,How likely are people in Aserad to <b>walk their pet cats on the street?</b>;Would <i><b>people in Aserad</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Aserad,"1","3",runCars,doingAcrobatics,walkingCat,experiment,walkingCat,single,"day : 13; ",520236,Not really_Not really_Not really,6710,2_2_2
"435",nsg:6,"72",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>wear sunglasses?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,wearSunglasses,highTypeFreq,"day : 13; ",597638,Very Much so_Very Much so_Very Much so,6759,4_4_4
"436",nsg:6,"72",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>pick their nose?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,pickingNose,lowTypeFreq,"day : 13; ",601494,Very Much so_Very Much so_Very Much so,3335,4_4_4
"437",nsg:6,"72",form,"","",<h1>Noah in Qrita</h1>,"","","","1","1","","","",radio,How likely are people in Qrita to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Qrita</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Qrita,"4","3",wearSunglasses,pickingNose,walkSwimsuit,experiment,walkSwimsuit,single,"day : 13; ",608023,Somewhat_Somewhat_Somewhat,6011,3_3_3
"351",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>pantomime?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>pantomime?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pantomime?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,Pantomime,highTypeFreq,"day : 13; ",684027,Very Much so_Very Much so_Very Much so,5372,4_4_4
"352",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>bike to work?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>bike to work?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>bike to work?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,workBike,lowTypeFreq,"day : 13; ",688843,Very Much so_Very Much so_Very Much so,4297,4_4_4
"353",nsg:6,"58",form,"","",<h1>Noah in Elder</h1>,"","","","1","1","","","",radio,How likely are people in Elder to <b>dress as a mascot?</b>;Would <i><b>people in Elder</b></i> consider it morally acceptable to <b>dress as a mascot?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>dress as a mascot?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Elder,"2","2",Pantomime,workBike,dressedMascot,experiment,dressedMascot,single,"day : 13; ",693315,Somewhat_Somewhat_Somewhat,3953,3_3_3
"345",nsg:6,"57",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>walk their pet cats on the street?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>walk their pet cats on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk pet cats on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,walkingCat,highTypeFreq,"day : 13; ",769933,Very Much so_Very Much so_Very Much so,5960,4_4_4
"346",nsg:6,"57",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>run alongside cars?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>run alongside cars?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>run alongside cars?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,runCars,lowTypeFreq,"day : 13; ",774198,Very Much so_Very Much so_Very Much so,3743,4_4_4
"347",nsg:6,"57",form,"","",<h1>Noah in Slesa</h1>,"","","","1","1","","","",radio,How likely are people in Slesa to <b>do kurafi?</b>;Would <i><b>people in Slesa</b></i> consider it morally acceptable to <b>do kurafi?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>do kurafi?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,neutral,Slesa,"1","2",walkingCat,runCars,doingAcrobatics,experiment,doingAcrobatics,single,"day : 13; ",778805,Somewhat_Somewhat_Somewhat,4086,3_3_3
"291",nsg:6,"48",form,"","",<h1>Noah in Pirsea</h1>,"","","","1","1","","","",radio,How likely are people in Pirsea to <b>pick their nose?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Pirsea,"4","1",pickingNose,walkSwimsuit,wearSunglasses,experiment,pickingNose,highTypeFreq,"day : 13; ",856422,Very Much so_Very Much so_Very Much so,7020,4_4_4
"292",nsg:6,"48",form,"","",<h1>Noah in Pirsea</h1>,"","","","1","1","","","",radio,How likely are people in Pirsea to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Pirsea,"4","1",pickingNose,walkSwimsuit,wearSunglasses,experiment,walkSwimsuit,lowTypeFreq,"day : 13; ",861515,Very Much so_Very Much so_Very Much so,4572,4_4_4
"293",nsg:6,"48",form,"","",<h1>Noah in Pirsea</h1>,"","","","1","1","","","",radio,How likely are people in Pirsea to <b>wear sunglasses?</b>;Would <i><b>people in Pirsea</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Pirsea,"4","1",pickingNose,walkSwimsuit,wearSunglasses,experiment,wearSunglasses,single,"day : 13; ",865454,Very Much so_Very Much so_Very Much so,3419,4_4_4
"363",nsg:6,"60",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>wear swimsuits on the streets?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear swimsuits on the streets?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,walkSwimsuit,highTypeFreq,"day : 13; ",940819,Very Much so_Very Much so_Very Much so,4771,4_4_4
"364",nsg:6,"60",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>wear sunglasses?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>wear sunglasses?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>wear sunglasses?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,wearSunglasses,lowTypeFreq,"day : 13; ",945255,Very Much so_Very Much so_Very Much so,3918,4_4_4
"365",nsg:6,"60",form,"","",<h1>Noah in Krark</h1>,"","","","1","1","","","",radio,How likely are people in Krark to <b>pick their nose?</b>;Would <i><b>people in Krark</b></i> consider it morally acceptable to <b>pick their nose?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pick your nose?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Krark,"4","2",walkSwimsuit,wearSunglasses,pickingNose,experiment,pickingNose,single,"day : 13; ",948927,Somewhat_Somewhat_Somewhat,3152,3_3_3
"285",nsg:6,"47",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>walk barefoot on the street?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>walk barefoot on the street?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,barefootPark,highTypeFreq,"day : 13; ",1024246,Very Much so_Very Much so_Very Much so,4678,4_4_4
"286",nsg:6,"47",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>eat raw broccoli?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>eat raw broccoli?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,eatingBroccoli,lowTypeFreq,"day : 13; ",1028262,Very Much so_Very Much so_Very Much so,3496,4_4_4
"287",nsg:6,"47",form,"","",<h1>Noah in Phando</h1>,"","","","1","1","","","",radio,How likely are people in Phando to <b>drink wine?</b>;Would <i><b>people in Phando</b></i> consider it morally acceptable to <b>drink wine?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>drink wine?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,neutral,Phando,"3","1",barefootPark,eatingBroccoli,drinkWine,experiment,drinkWine,single,"day : 13; ",1033352,Somewhat_Somewhat_Somewhat,4567,3_3_3
