subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
1,2023-01-07_18:53:11,2023-01-07_18:53:11,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=549245cc3eb4e29fe5a091339f86b8b9bc49b1bf,18,woman,"day : 13; ",1731.847
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",37383,2,3411,
9,nsg:1,1,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>cycle past red lights?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,passLight,highTypeFreq,,,,"day : 13; ",122621,"Very Much so_Very Much so_Somewhat",13541,4_4_3
10,nsg:1,1,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>shout at other drivers?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,shoutDriver,lowTypeFreq,,,,"day : 13; ",142558,"Somewhat_Somewhat_Not really",19417,3_3_2
11,nsg:1,1,form,,,"<h1>Noah in Sephy</h1>",,,,,1,1,,,,radio,"How likely are people in Sephy to <b>gossip badly?</b>;Would <i><b>people in Sephy</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Sephy,1,1,passLight,shoutDriver,Gossiping,experiment,Gossiping,single,,,,"day : 13; ",160419,"Not really_Somewhat_Not really",17343,2_3_2
153,nsg:1,25,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>gossip badly?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>gossip badly?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>gossip badly?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,Gossiping,highTypeFreq,,,,"day : 13; ",246538,"Very Much so_Somewhat_Not at all",15631,4_3_1
154,nsg:1,25,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>cycle past red lights?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>cycle past red lights?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>cycle past red lights?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,passLight,lowTypeFreq,,,,"day : 13; ",257099,"Somewhat_Not really_Somewhat",10045,3_2_3
155,nsg:1,25,form,,,"<h1>Noah in Faylight</h1>",,,,,1,1,,,,radio,"How likely are people in Faylight to <b>shout at other drivers?</b>;Would <i><b>people in Faylight</b></i> consider it morally acceptable to <b>shout at other drivers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>shout at other drivers?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Faylight,1,3,Gossiping,passLight,shoutDriver,experiment,shoutDriver,single,,,,"day : 13; ",268241,"Somewhat_Not really_Not really",10621,3_2_2
165,nsg:1,27,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>smoke marijuana?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,smokingMarijuana,highTypeFreq,,,,"day : 13; ",592308,"Somewhat_Not really_Somewhat",253570,3_2_3
166,nsg:1,27,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>skip queues?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,skipQueue,lowTypeFreq,,,,"day : 13; ",606626,"Not really_Not at all_Not really",13797,2_1_2
167,nsg:1,27,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,,,,"day : 13; ",615416,"Not really_Not at all_Not at all",8272,2_1_1
