subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
1,2022-12-21_13:42:49,2022-12-21_13:42:49,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=215dc16d4a3d7ad8ffbbf615e7339aa47dfa93ce,18,woman,"day : 13; ",1525.353
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",75811,2,3361,
159,nsg:1,26,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>litter in canals?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>litter in canals?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>litter in canals?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,litterCanal,highTypeFreq,,,,"day : 13; ",166390,"Somewhat_Not at all_Not at all",17964,3_1_1
160,nsg:1,26,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>park in priority disabled parking spaces?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>park in disabled parking spaces?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>park in priority disabled parking spaces?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,disabledParking,lowTypeFreq,,,,"day : 13; ",189862,"Not really_Not at all_Not at all",22827,2_1_1
161,nsg:1,26,form,,,"<h1>Noah in Zlefwood</h1>",,,,,1,1,,,,radio,"How likely are people in Zlefwood to <b>make loud noises at the library?</b>;Would <i><b>people in Zlefwood</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>make loud noises at the library?</b>","Not at all;Not really;Somewhat;Very Much so",1,male,bad,Zlefwood,2,3,litterCanal,disabledParking,loudNoise,experiment,loudNoise,single,,,,"day : 13; ",202743,"Not really_Not at all_Not really",12178,2_1_2
99,nsg:1,16,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>pillage corn from a field?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>pillage corn from a field?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,pillageCorn,highTypeFreq,,,,"day : 13; ",297476,"Very Much so_Somewhat_Not really",23972,4_3_2
100,nsg:1,16,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>steal packages from a doorstep?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>steal packages from a doorstep?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>steal a package from a doorstep?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,packageTheft,lowTypeFreq,,,,"day : 13; ",307375,"Not really_Not at all_Not at all",9280,2_1_1
101,nsg:1,16,form,,,"<h1>Noah in Freezington</h1>",,,,,1,1,,,,radio,"How likely are people in Freezington to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>people in Freezington</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>avoid paying tube fares by jumping over a gate?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Freezington,4,2,pillageCorn,packageTheft,avoidFare,experiment,avoidFare,single,,,,"day : 13; ",323766,"Not really_Not really_Somewhat",15742,2_2_3
165,nsg:1,27,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>smoke marijuana?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>smoke marijuana?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>smoke marijuana?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,smokingMarijuana,highTypeFreq,,,,"day : 13; ",406418,"Very Much so_Somewhat_Somewhat",11915,4_3_3
166,nsg:1,27,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>skip queues?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>skip queues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>skip queues?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,skipQueue,lowTypeFreq,,,,"day : 13; ",417819,"Not really_Not really_Not at all",10677,2_2_1
167,nsg:1,27,form,,,"<h1>Noah in Cluakpus</h1>",,,,,1,1,,,,radio,"How likely are people in Cluakpus to <b>punch police officers?</b>;Would <i><b>people in Cluakpus</b></i> consider it morally acceptable to <b>punch police officers?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>punch police officers?</b>","Not at all;Not really;Somewhat;Very Much so",1,female,bad,Cluakpus,3,3,smokingMarijuana,skipQueue,punchOfficer,experiment,punchOfficer,single,,,,"day : 13; ",430266,"Not at all_Not at all_Not really",11813,1_1_2
