subjectGroup,GMT_timestamp,local_timestamp,trial_file_version,link,age,gender,tallies,duration_s
4,2023-01-16_14:34:05,2023-01-16_14:34:05,2022-12-21_12:02:10,https://www.testable.org/experiment/2286/994749/start?sona_id=b568dc9a40f286a9984ce0e52a0fd2bf01e6ca3b,18,man,"day : 13; ",1500.087
rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,body,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,mySD3subScale,mySD3itemID,mySD3reversed,tallies,timestamp,response,RT,responseCode
5,,,test,"What is the name of the person whose travel journal you are about to read?",word,,,Moses,Noah,Fred,1,1,!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.",,,,,,,,,,,,,attentionTest,,,,,,"day : 0; ",41108,2,2541,
249,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,,,,"day : 13; ",151118,"Somewhat_Very Much so_Very Much so",37385,3_4_4
250,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,,,,"day : 13; ",167012,"Not really_Very Much so_Very Much so",15361,2_4_4
251,nsg:4,41,form,,,"<h1>Noah in Windon</h1>",,,,,1,1,,,,radio,"How likely are people in Windon to <b>save baby birds?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Windon,1,1,moneyCharity,offerSeat,saveBird,experiment,saveBird,single,,,,"day : 13; ",178563,"Not really_Not really_Somewhat",11032,2_2_3
261,nsg:4,43,form,,,"<h1>Noah in Orkfield</h1>",,,,,1,1,,,,radio,"How likely are people in Orkfield to <b>hold elevator doors for others?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>hold elevator doors for others?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Orkfield,3,1,holdDoor,returnWallet,heavyGroceries,experiment,holdDoor,highTypeFreq,,,,"day : 13; ",255643,"Very Much so_Very Much so_Very Much so",6505,4_4_4
262,nsg:4,43,form,,,"<h1>Noah in Orkfield</h1>",,,,,1,1,,,,radio,"How likely are people in Orkfield to <b>return wallets?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>return wallets?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>return wallets?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Orkfield,3,1,holdDoor,returnWallet,heavyGroceries,experiment,returnWallet,lowTypeFreq,,,,"day : 13; ",264555,"Not really_Somewhat_Very Much so",8378,2_3_4
263,nsg:4,43,form,,,"<h1>Noah in Orkfield</h1>",,,,,1,1,,,,radio,"How likely are people in Orkfield to <b>help elderly carry heavy groceries?</b>;Would <i><b>people in Orkfield</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help elderly carry heavy groceries?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Orkfield,3,1,holdDoor,returnWallet,heavyGroceries,experiment,heavyGroceries,single,,,,"day : 13; ",273427,"Not really_Somewhat_Very Much so",8346,2_3_4
321,nsg:4,53,form,,,"<h1>Noah in Styl</h1>",,,,,1,1,,,,radio,"How likely are people in Styl to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Styl,1,2,offerSeat,saveBird,moneyCharity,experiment,offerSeat,highTypeFreq,,,,"day : 13; ",351995,"Very Much so_Very Much so_Very Much so",8028,4_4_4
322,nsg:4,53,form,,,"<h1>Noah in Styl</h1>",,,,,1,1,,,,radio,"How likely are people in Styl to <b>save baby birds?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Styl,1,2,offerSeat,saveBird,moneyCharity,experiment,saveBird,lowTypeFreq,,,,"day : 13; ",363323,"Not really_Not really_Somewhat",10795,2_2_3
323,nsg:4,53,form,,,"<h1>Noah in Styl</h1>",,,,,1,1,,,,radio,"How likely are people in Styl to <b>donate to children's charities?</b>;Would <i><b>people in Styl</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Styl,1,2,offerSeat,saveBird,moneyCharity,experiment,moneyCharity,single,,,,"day : 13; ",370043,"Not really_Somewhat_Somewhat",6202,2_3_3
393,nsg:4,65,form,,,"<h1>Noah in Vali</h1>",,,,,1,1,,,,radio,"How likely are people in Vali to <b>save baby birds?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>save baby birds?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>save baby birds?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Vali,1,3,saveBird,moneyCharity,offerSeat,experiment,saveBird,highTypeFreq,,,,"day : 13; ",446460,Somewhat_Somewhat_Somewhat,5876,3_3_3
394,nsg:4,65,form,,,"<h1>Noah in Vali</h1>",,,,,1,1,,,,radio,"How likely are people in Vali to <b>donate to children's charities?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Vali,1,3,saveBird,moneyCharity,offerSeat,experiment,moneyCharity,lowTypeFreq,,,,"day : 13; ",452852,"Very Much so_Very Much so_Very Much so",5878,4_4_4
395,nsg:4,65,form,,,"<h1>Noah in Vali</h1>",,,,,1,1,,,,radio,"How likely are people in Vali to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Vali</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>","Not at all;Not really;Somewhat;Very Much so",2,female,good,Vali,1,3,saveBird,moneyCharity,offerSeat,experiment,offerSeat,single,,,,"day : 13; ",458307,"Not really_Somewhat_Very Much so",4939,2_3_4
411,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>give directions?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,lostDirections,highTypeFreq,,,,"day : 13; ",534499,"Very Much so_Very Much so_Somewhat",5649,4_4_3
412,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>help the elderly cross a road?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,helpElderly,lowTypeFreq,,,,"day : 13; ",540188,"Not really_Not really_Somewhat",5167,2_2_3
413,nsg:4,68,form,,,"<h1>Noah in Wrury</h1>",,,,,1,1,,,,radio,"How likely are people in Wrury to <b>leave a generous tip to the server?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>","Not at all;Not really;Somewhat;Very Much so",2,male,good,Wrury,4,3,lostDirections,helpElderly,largeTip,experiment,largeTip,single,,,,"day : 13; ",546315,"Not really_Not really_Not really",5599,2_2_2
