subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,mindsCode,batchID,link,age,gender,tallies,duration_s
"4",Chrome,115.0.0.0,1920,1080,Windows,en-US,2023-08-16_14:00:55,2023-08-16_16:00:55,2023-08-15_14:13:36,eeba29f298d2fe16b481491910721d4ae692db03,TYTTKD-02,https://www.testable.org/experiment/2286/159771/start?participant=M654290&batch_id=TYTTKD-02,"39",man,"day : 13; ",1303.456

rowNo,subjectGroup,randomBlock,type,stim1,stimFormat,head,button1,button2,button3,pageBreak,required,if,then,feedback,responseType,responseRows,responseOptions,myGenderSubjectGroup,myFaceGender,myValence,myPlaceName,mySet,myAssignmentCondition,myHighTypeFreqAction,myLowTypeFreqAction,mySingletonAction,myPhase,myQueriedAction,myQueriedActionStatus,tallies,timestamp,response,RT,responseCode
"5","","",test,What is the name of the person whose travel journal you are about to read?,word,"",Moses,Noah,Fred,"1","1",!2,end,"1: This is not correct, the experiment will end now.;2: This is correct.; 3: This is not correct, the experiment will end now.","","","","","","","","","","","","",attentionTest,"","","day : 0; ",81824,"2",4135,""
"411",nsg:4,"68",form,"","",<h1>Noah in Wrury</h1>,"","","","1","1","","","",radio,How likely are people in Wrury to <b>give directions?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>give directions?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>give directions?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Wrury,"4","3",lostDirections,helpElderly,largeTip,experiment,lostDirections,highTypeFreq,"day : 13; ",168738,Very Much so_Very Much so_Very Much so,15096,4_4_4
"412",nsg:4,"68",form,"","",<h1>Noah in Wrury</h1>,"","","","1","1","","","",radio,How likely are people in Wrury to <b>help the elderly cross a road?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>help the elderly cross a road?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Wrury,"4","3",lostDirections,helpElderly,largeTip,experiment,helpElderly,lowTypeFreq,"day : 13; ",178108,Very Much so_Very Much so_Very Much so,8859,4_4_4
"413",nsg:4,"68",form,"","",<h1>Noah in Wrury</h1>,"","","","1","1","","","",radio,How likely are people in Wrury to <b>leave a generous tip to the server?</b>;Would <i><b>people in Wrury</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>leave a generous tip to the server?</b>,Not at all;Not really;Somewhat;Very Much so,"2",male,good,Wrury,"4","3",lostDirections,helpElderly,largeTip,experiment,largeTip,single,"day : 13; ",202326,Somewhat_Somewhat_Not really,23708,3_3_2
"327",nsg:4,"54",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,trippedChild,highTypeFreq,"day : 13; ",285319,Very Much so_Very Much so_Very Much so,12522,4_4_4
"328",nsg:4,"54",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>invite other families to share fruit?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,shareFruit,lowTypeFreq,"day : 13; ",297536,Somewhat_Somewhat_Somewhat,11707,3_3_3
"329",nsg:4,"54",form,"","",<h1>Noah in Hifvine</h1>,"","","","1","1","","","",radio,How likely are people in Hifvine to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Hifvine</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Hifvine,"2","2",trippedChild,shareFruit,buyCoffee,experiment,buyCoffee,single,"day : 13; ",328787,Somewhat_Somewhat_Somewhat,30737,3_3_3
"399",nsg:4,"66",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>invite other families to share fruit?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>invite other families to share fruit?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,shareFruit,highTypeFreq,"day : 13; ",404244,Very Much so_Very Much so_Very Much so,4975,4_4_4
"400",nsg:4,"66",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>buy coffee for their colleagues?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>buy coffee for their colleagues?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,buyCoffee,lowTypeFreq,"day : 13; ",407950,Somewhat_Somewhat_Somewhat,3194,3_3_3
"401",nsg:4,"66",form,"","",<h1>Noah in Tiare</h1>,"","","","1","1","","","",radio,How likely are people in Tiare to <b>block streets to allow children to cross them?</b>;Would <i><b>people in Tiare</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>block streets to allow children to cross them?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Tiare,"2","3",shareFruit,buyCoffee,trippedChild,experiment,trippedChild,single,"day : 13; ",411866,Somewhat_Somewhat_Somewhat,3404,3_3_3
"249",nsg:4,"41",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>donate to children's charities?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>donate to children's charities?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>donate to children's charities?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,moneyCharity,highTypeFreq,"day : 13; ",494665,Very Much so_Very Much so_Not really,12323,4_4_2
"250",nsg:4,"41",form,"","",<h1>Noah in Windon</h1>,"","","","1","1","","","",radio,How likely are people in Windon to <b>offer their seat to pregnant people?</b>;Would <i><b>people in Windon</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>;Would <i><b>you</b></i> consider it morally acceptable to <b>offer their seat to pregnant people?</b>,Not at all;Not really;Somewhat;Very Much so,"2",female,good,Windon,"1","1",moneyCharity,offerSeat,saveBird,experiment,offerSeat,lowTypeFreq,"day : 13; ",500921,Somewhat_Somewhat_Somewhat,5743,3_3_3
